English,Bangla,Marma
I am looking for a room.,আমি একটি রুম খুঁজছি,ঙা ত হ্রারে ত্দ
What can I say?,আমি কি বলতে পারি?,ঙা প্র হোলঃ?
He came last.,সে শেষ এসেছিল,য়াসু লেলিবঃ
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,নাং লিজং লাহো
I don't speak very well.,আমি খুব ভাল কথা বলি না,ঙা চ্গা আকোং মপ্র
Close the door,দরজা বন্ধ করুন,তৈংখা মে পুঁই ল ত্খ্যাক
His mother was strict.,তার মা কঠোর ছিল,কক্রউমন্হেং অ্মি য়াসু
Will it rain today?,আজ কি বৃষ্টি হবে?,গ্নি মোঃ
They stopped talking,তাদের কথা বলা বন্ধ,য়াসু চ্গা তুংব্যা
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,মা ঙা ছেংবাং এর্মা হ্রীব্যা
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু আসেং ঙন্যে
What is your destination?,আপনার গন্তব্য কি?,কো আদো লারে
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ই ওয়েইং মা ঙাঃ এর্মা হিরিরে
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা রেব্যা
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,কো য়াছাগো ত্খুমসা সিক্ড়ি ল
You are so beautiful,আপনি খুব সুন্দর,হ্লাবারে কগং কো
I can run.,আমি চালাতে সক্ষম,রেয় সালে ন্হেং ঙা
Have a nice day.,আপনার দিনটি শুভ হোক,কো রা্ক ফ্রলি আকং
Will you kill me?,তুমি কি আমাকে মেরে ফেলবে?,য়াসু সেব্ল ঙাগো হব্যা ল?
That's my book.,যে আমার বই,য়াচা ঊঃ চা ঙা
I miss you.,আমার আপনাকে মনে পরছে,তোওড়ারেয় কোগো ঙা
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মা য়াসু চ্গা ফ্ররে
Come with your family,আপনার পরিবারের সাথে আসুন,কো ইংসা ল্লে
There is nothing wrong with him,তার সাথে কোন ভুল নেই,য়াসুলা ত্খুবাং আম্হা মিহি
She is a teacher.,সে একজন শিক্ষিকা,মা ত্যঃ ছ্রামা/চাখ্যাসা য়াসুু
I can run.,আমি চালাতে সক্ষম,ঙা ন্হেং সালে রেয়
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা ন্হেং
Did you see anyone there?,আপনি সেখানে কাউকে দেখেছেন?,কো য়াদেমা তয়্গম্সুগো ল?
How are you?,আপনি কেমন আছেন,আকং হিঃরিল?
I can't believe it.,আমি এটা বিশ্বাস করতে পারছি না,ম্ক্যুং ইচা ঙা ন্হেং
When can we eat?,আমরা কখন খেতে পারি?,ঙো চা জা্খা হুলে
"No, I will eat later.","না, আমি পরে খাব",ঙা নঃউকা চাহো
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো সি ম্প্র চ্গা য়াং?
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু ররেখে ম্রাং রে
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো ছাংখ্রাহো য়ুব ইচাগো পি
Can I ask you a question?,আমি কি তোমাকে একটা প্রশ্ন করতে পারি?,ঙা নাগকো টখও ন্হেং হো ল?
When do you study?,আপনি কখন পড়াশোনা করেন?,জ্খা চা ফেটে লে
This story is true,এই গল্প সত্য,আ্কং ওয়েঠু
How is your life going?,আপনার জীবন কেমন চলছে?,কো মা আঃসা ম্জং লে?
Will you go for a walk?,তুমি কি বেড়াতে যাবে?,নাং লিজং লাহো
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,ফ্রকেরে ঙাখ্ক এসেএওয়ব্যে ইলামা
It's so cheap,এটা খুব সস্তা,ইচা এর্মা
Come with your family,আপনার পরিবারের সাথে আসুন,ইংসা কো লা ল্লে
I am looking for a room.,আমি একটি রুম খুঁজছি,ঙা ত্দ ত হ্রারে
You're so nice,আপনি খুব চমৎকার,কো আ্স্যাক্যারে আমা
See you soon,শীঘ্রই আবার দেখা হবে,আয়ং প্রেংব আতুই
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,যাচা খা্গটেলে আম্যা
She got angry.,সে রেগে গেল,মেং তাউব্যা
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে
The house is very small.,বাড়িটা খুব ছোট,ইং অফওয়াশে এরমা
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,নং জ্যখা গং
His smile was very beautiful.,তার হাসি খুব সুন্দর ছিল,য়াসু রিচা আ্মা
I am fine.,আমি ভালো আছি,হিরি আকং ঙা
Whose idea is this?,এটা কার ধারণা?,ইচা ত্য়ওচা আসু লে
I am sorry.,আমি দুঃখিত,ঙা হ্রুওয়ে খোয়ং গো
Do you want to go?,আপনি কি যেতে চান?,কো খ্যাংরে লা ল?
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,নাং রো ইংসারো হিরিলে ম্জং
Why did you leave?,তুমি কেন ছেড়ে দিলে,নাং ফ্রুল টিলে?
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো প্য়াংব কোওন্হেং হোলে?
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ আফা/ বাবা নেংমা
She was brave.,তিনি সাহসী ছিল,য়াসু ম্ক্র হিঃরেলেয়
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,মা টেঙা হিগ্যি ঙা লিসউ ওউইন্হেং লি হো
I am sorry.,আমি দুঃখিত,ঙা গো হ্রুওয়ে খোয়ং
I'm very busy this week,আমি এই সপ্তাহে খুব ব্যস্ত,ঙামা ই খাঃলে মা আ্মা হীরে
See you tomorrow,আগামীকাল দেখা হবে,ন্হাক্ ফ্রেং আতুই
I am counting on you.,আমি তোমার উপর নির্ভর করছি,না্গকোরা সিরিব্যা
Which is more expensive?,কোনটি বেশি ব্যয়বহুল?,যাচা খা্গটেলে আম্যা
His face was still young.,তার মুখ তখনও তরুণ,য়্খালে ম্যাঙন্হা য়াসু আ্ম
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা ক্রাব লেটেলে? আস্যা
His advice didn't help.,তার পরামর্শ সাহায্য করেনি,প্রচা য়াসু আলু ম্লুলি
It wasn't expensive.,এটা ব্যয়বহুল ছিল না,আতেং মি্হিলি
Her smile was good.,তার হাসি ভাল ছিল,য়াসু হ্লারে রেছা
His house is very tall.,তার বাড়ি অনেক লম্বা,ইং য়াসু এরমা আহ্রি
Will you stop talking?,তুমি কি কথা বলা বন্ধ করবে?,নাং প্রহো তেংহো ল
Do you understand?,তুমি কি বুঝতে পেরেছো?,নাং? ল নালেরি
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা কো লা চ্গা ম্হক্ ত্খৈং
How are you?,আপনি কেমন আছেন,আকং হিঃরিল?
It was very difficult.,এটা খুব কঠিন ছিল,আমা ইচা খাঃখ্যে লিরে
They stopped talking,তাদের কথা বলা বন্ধ,য়াসু চ্গা মা তুংব্যা
When will you cut your wheat?,তুমি কখন তোমার গম কাটবে?,জ্যখা গং রুইহুলে?
Are you hungry?,তুমি কী ক্ষুধার্ত?,ল? মওয়ে্প ঙা
What was the word for?,শব্দটা কিসের ছিল?,আ্চা য়াচা আ্সেং লে?
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,নৌকা যখা হোলে? খেং নহেং আটুই
I am very sorry.,আমি খুবই দুঃখিত,ঙা গা হ্রুওয়ে খোয়ং
He goes to school.,সে স্কুলে যায়,চাক্যংদো লারে
They're good people,তারা ভালো মানুষ,আঁকং আ্মা য়াস্রু লু
I can't hear you.,আমি তোমাকে শুনতে পাচ্ছি না,নাাং প্রচাগো ম্ক্রা
I am taller than you.,আমি আপনার চাইতে লম্বা,ঙা হ্রিরে কোস্থা
Can I help you?,আমি কি সাহায্য করতে পারি?,ঙা কুহু হোলঃ?
I am always busy.,আমি সব সময় ব্যস্ত থাকি,নিংরে খ্যাংখাফ্র অ্লুমা ঙা
When can we eat?,আমরা কখন খেতে পারি?,ঙো হুলে চা জা্খা
Will you stay home?,তুমি কি বাড়িতে থাকবে,নাং ইংমা নিং ল? হো
How deep is the lake?,লেকের গভীরতা কত?,য়াক্ ম্নহ আ্নাক্ লে?
Do you want to go?,আপনি কি যেতে চান?,খ্যাংরে লা কো ল?
Have you finished?,তুমি কি শেষ করেছ?,ল? টুংব্যা নাঃমা
They are both in the room.,তারা দুজনেই রুমে আছে,ইয়াশ্রু ন্হয়চঙং হিরে মা ত
You made me happy,তুমি আমাকে খুশি করেছো,নাং ঙা অপ্য গো পিরে
I am hungry.,আমি ক্ষুধার্ত,ঙা মইপঃ
She didn't speak.,তিনি কথা বলেননি,চাগা ম্প্রলি
How is your life going?,আপনার জীবন কেমন চলছে?,কো মা লে? ম্জং লারে আঃসা
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,ররেখে আ্ফা য়াসু ম্রাং রে
Please speak more slowly.,অনুগ্রহ করে আরো ধীরে কথা বলুন,চ্গা প্র
His father looks healthy.,তার বাবা সুস্থ দেখাচ্ছে,য়াসু আ্ফা ম্রাং রে
Will he come?,সে কি আসবে?,য়া লেহুঁ সু ল
See you soon,শীঘ্রই আবার দেখা হবে,ক্যামে প্রেংব আতুই আয়ং
See you tomorrow,আগামীকাল দেখা হবে,ফ্রেং ন্হাক্ আতুই ক্যামে
It really takes time.,এটা সত্যিই সময় লাগে,ইচা আখ্যিং লুরেয়
You can go,তুমি যেতে পার,নাং লা ন্হেং মি
I don't agree with you,আমি আপনার সাথে একমত নই,ঙা ম্হক্ লা চ্গা ত্খৈং কো
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,ঙো ফ্রোরাহু স্দি আমা
His opinion was not accepted.,তার মতামত গ্রহণ করা হয়নি,চ্গা ম্নাথংলি
It's a long story.,এটি একটি দীর্ঘ গল্প,অ্হ্রিথং ত্খু ইচা ওয়েথু
Will you love me?,তুমি কি আমাকে ভালোবাসবে?,ঙা গো ক্র হো ল?
I hate you.,আমি আপনাকে ঘৃণা করি,ঙা মুংরে কোগো
Are you crazy?,তুমি কি পাগল?,ল আরোউ নাং
"If I had money, I could buy it",আমার কাছে টাকা থাকলে আমি কিনতে পারতাম,ঙা মা লি হিগ্যি ঙা লিসউ ওউইন্হেং টেঙা হো
My mother is always at home,আমার মা সবসময় বাড়িতে থাকে,ঙো দদ/অ্ম্মি/অ্দঃ খ্যাংখাফ্র নিংড়ে
I can't hear you.,আমি তোমাকে শুনতে পাচ্ছি না,ঙা নাাং ম্ক্রা
Close the door,দরজা বন্ধ করুন,তৈংখা ত্খ্যাক পুঁই মে ল
It's nice to see you,তোমাকে দেখে ভাল লাগলো,নাক্ কো ম্রাং প্যহারে
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং বওয়ে আহ্লা ম্রাং ল টি ল?
Please give me the bill,দয়া করে বিল দিন।,বিল পিন্হেং হুলো?
Have a nice time.,একটি সুন্দর সময় আছে,আখ্যিং আহ্লা ট্খু্ক হিরে
He agreed with me,তিনি আমার সাথে একমত,য়াসু ঙালা তখৈংব্যা
I am very happy.,আমি অত্যন্ত খুশি,রেয় আমা প্য় ঙা
I am counting on you.,আমি তোমার উপর নির্ভর করছি,সিরিব্যা না্গকোরা ঙা
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা ব্যা। ম্যাকন্হামা ম্রাংরা রে য়াসু
Did he come by bus or train?,সে কি বাসে এসেছে নাকি ট্রেনে?,ইয়াউসু মা মা ল ট্রন বাস ল?
His wife is Indian.,তার স্ত্রী ভারতীয়,য়াসু ম্যা সংসা খংড
She was alone.,তিনি একা ছিলেন,য়াঃসু নুং হিঃরেলেয় খ্যাং
Do you love me or not?,তুমি আমাকে ভালোবাসো কি না,নাং ল গো ক্রোতি ল ম্ক্র ঙা
This is my book,এটা আমার বই,ইচা চা ঙা ঊঃ
They praise each other,তারা একে অপরের প্রশংসা করে,ইয়াস্রু ত্যক্কো ত্যক প্রগেতে
There have been five murders this month,এই মাসে পাঁচটি খুনের ঘটনা ঘটেছে,এসেএওয়ব্যে ঙাখ্ক ইলামা ফ্রকেরে
His house is very tall.,তার বাড়ি অনেক লম্বা,ইং এরমা আহ্রি
This river is beautiful,এই নদী সুন্দর,ই হ্লারে খ্যং
"If he comes, tell him to wait","যদি তিনি আসেন, তাকে অপেক্ষা করতে বলুন",য়াসু লেহো ছুগ্যে য়াসু গো চং ল
Excuse my mistake,আমার ভুল মাফ করবেন।,ঙা খোয়ং হ্রুওয়ে
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,ঙা নাাক্ রুউ মা রে
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
I can swim.,আমি সাঁতার কাটতে পারি,তেতি র্গু খেহো ঙা
My father is in his room.,আমার বাবা তার রুমে আছেন,অফা/ ঙো আফা/ বাবা নেংমা হিরে
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ আফা/ বাবা হিরে
I am going to study.,আমি পড়াশোনা করতে যাচ্ছি,চা ফেচং লারেয়
You are so beautiful,আপনি খুব সুন্দর,কগং হ্লাবারে
Do you smoke?,তুমি কি ধুমপান কর,নাং ল? সউতে ছুঁইলি
It's a long story.,এটি একটি দীর্ঘ গল্প,ত্খু অ্হ্রিথং ওয়েথু
Come and see me now,এসো এবং এখন আমাকে দেখতে,ঙা গো আ্গু ল্লে
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
His joy is evident on his face.,তার আনন্দ তার মুখে ফুটে উঠেছে,য়াসু প্যচা য়াসু ম্যাকন্হামা রে ব্যা।
This river is beautiful,এই নদী সুন্দর,খ্যং ই হ্লারে
This river is beautiful,এই নদী সুন্দর,ই খ্যং
I am counting on you.,আমি তোমার উপর নির্ভর করছি,ঙা সিরিব্যা
No one was in the garden,বাগানে কেউ ছিল না,য়ইং মা ত্যক্পাং
Her eyes were blue.,তার চোখ নীল,ক্রোং মা য়াসু ম্ক্রযাচি
Have you eaten?,তুমি কি খেয়েছ?,চা নাং ব্যা ল?
His face was still young.,তার মুখ তখনও তরুণ,য়াসু ম্যাঙন্হা আ্ম
Please go to school.,অনুগ্রহ করে স্কুলে যান,চা ক্যাং লালি
You should sleep,তোমার তো ঘুমানো উচিত,নাং গা ওউই টেং রাহো রে ব্যা
I don't like it,আমি এটা পছন্দ করি না,মা্সায়া ঙা ইচা
His dream came true.,তার স্বপ্ন সত্যি হয়েছে,য়াসু ফ্ররে আকং ইংমাউ
See you tomorrow,আগামীকাল দেখা হবে,ক্যামে ফ্রেং আতুই ন্হাক্
When was he born?,সে কখন জন্মেছিল?,য়াসু জা্খা লে?
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং গ্নি খরুইকা লেটেলে? আস্যা ক্রাব
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো ম্জং প্য়াংব হোলে? কোওন্হেং
Where is the beautiful girl?,সুন্দরী মেয়েটি কোথায়?,আহ্লামা জামালেই?
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আহ্লা হিরে আখ্যিং
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে ম্রাং ল টি ল?
Can you read this book?,আপনি এই বই পড়তে পারেন,কো ই চা্উ মি
Are you going?,তুমি কি যাচ্ছ?,নাং লারেয় ল
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ই ওয়েইং মা এর্মা ঙাঃ
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,কোমা জ্খা তুংরে লে?
Did you do your homework?,আপনি কি আপনার বাড়ির কাজ করেছেন?,কো কোরো লুটেয়াং আলু ইং
You made me happy,তুমি আমাকে খুশি করেছো,অপ্য ঙা গো নাং পিরে
Why are you so tired today?,তুমি আজ এত ক্লান্ত কেন?,গ্নি আচাস্যা ন্গ্যবলে?
Can I help you?,আমি কি সাহায্য করতে পারি?,ঙা হোলঃ? নুইং কুহু
Why were you late this morning?,তুমি আজ সকালে দেরি করলে কেন?,নাং ক্রাব খরুইকা গ্নি আস্যা লেটেলে?
You made me happy,তুমি আমাকে খুশি করেছো,নাং ঙা গো অপ্য
You're so smart,আপনি খুব স্মার্ট,কো আ্মা
I don't speak very well.,আমি খুব ভাল কথা বলি না,ঙা আকোং চ্গা
Have you ever seen a whale?,আপনি কি কখনও একটি তিমি দেখেছেন?,তিমি কো ম্রাং ব্যা ল?
I really miss you,আমি তোমাকে সত্যি মিস করছি,ঙা নাক্ কো অ্কংকং
It looks like a bird.,এটা একটি পাখির মত দেখায়,ইচা ন্হাক্ ন্ঞং
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ঙো আগো ন্হেং হো ব্যালঃ
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা
She was brave.,তিনি সাহসী ছিল,য়াসু ম্লেং ম্ক্র হিঃরেলেয়
I trust you.,আমি তোমাকে বিশ্বাস করি,ঙা না্ক কো ক্যুং
Do you smoke?,তুমি কি ধুমপান কর,ছুঁইলি নাং সউতে ল?
Where do you want to go?,আপনি কোথায় যেতে চান?,কো লে? লাখ্যাং রে আদো
We can change,আমরা পরিবর্তন করতে পারি,ঙো ল্হি ন্হেং
Tell me something about your family,আপনার পরিবার সম্পর্কে কিছু বলেন,কো রো ইংসা গো ইউব প্র
She was alone.,তিনি একা ছিলেন,য়াঃসু হিঃরেলেয় খ্যাং নুং
It's so cheap,এটা খুব সস্তা,ইচা আঁটেং
I hate you.,আমি আপনাকে ঘৃণা করি,মুংরে কোগো ঙা
Are you serious?,তুমি কি সিরিয়াস?,ল? আম্হেং নাং
Are you serious?,তুমি কি সিরিয়াস?,আম্হেং ল?
She likes swimming.,তিনি সাঁতার কাটতে পছন্দ করেন,য়াঃসু র্গু খেহো আমা
There are many fish in this lake,এই হ্রদে অনেক মাছ আছে,ই ওয়েইং হিরিরে এর্মা ঙাঃ মা
Did you make it yourself?,তুমি কি এটা নিজে বানিয়েছ?,নাং ইচা কোমাকো লোচা
His smile was funny.,তার হাসি হাস্যকর ছিল,য়াসু আ্মা রিখ্যং ফুওয়ে
Have a nice trip.,আপনার যাত্রা শুভ হোক,ফ্রলি রা্ক আকং কো
His voice was soft.,তার কণ্ঠ নরম ছিল,য়াসু ঙন্যে আসেং
Can I help you?,আমি কি সাহায্য করতে পারি?,ঙা নুইং কুহু হোলঃ?
I'm proud of my son,আমি আমার ছেলের জন্য গর্বিত,ঙা ঙা সা কিজু ম্যান্হা ঠংব রে
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,কোগো ম্জং কোওন্হেং প্য়াংব হোলে?
Did you like the movie?,তুমি কি সিনেমাটি পছন্দ করেছ?,নাং য়া বওয়ে ম্রাং আহ্লা ল টি ল?
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,কিজু কিজুটাংরে
Where are you from?,তুমি কোথা থেকে আসছো,নাং আ্চগা লেটে
I am ready to start.,আমি শুরু করতে প্রস্তুত,ঙা চা রেব্যা ন্হেং
I am in love.,আমি প্রেমে পড়েছি,মা আখ্য রউরে
Will you help me?,আপনি কি আমাকে সাহায্য করবেন?,ঙাগো কো ত্খ্যাক্ কু ন্হেং হো ল?
When did it end?,এটা কখন শেষ হয়েছিল?,ইচা জা্খা রে টুংলি লে
I am looking for a room.,আমি একটি রুম খুঁজছি,ত্দ ত ঙা হ্রারে
I am busy with my homework.,আমি আমার বাড়ির কাজ নিয়ে ব্যস্ত,ঙা আলুমা অ্গো
This is not a joke,এটি তামাশা না,ইচা ম্হক্ স্যইংচা
Can I join you?,আমি আপনাকে যোগ দিতে পারি?,কোগো থি ন্হেং হোলঃ?
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা
This bird can't fly,এই পাখি উড়তে পারে না,ম্প্যেংন্হেং ন্হাক্ ই
Can she run fast?,সে দ্রুত দৌড়াতে পারে,য়াসু ব্রি অম্ নহেং রেয়
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে?,রোনা রোমা ইংসা নাং ম্জং লে?
Can you feel me?,তুমি কি আমাকে অনুভব করছো?,নাং ঙাগো য়াং?
How are you?,তোমার কী অবস্থা,লে ম্জংহীরে নাং
I can run fast.,আমি দ্রুত দৌড়াতে পারি,অ্মঃ ঙা ব্রি ন্হেং রে
She was alone.,তিনি একা ছিলেন,য়াঃসু নুং হিঃরেলেয়
Are you going?,তুমি কি যাচ্ছ?,নাং ল ব্যা লারেয়
I miss you.,আমার আপনাকে মনে পরছে,তোওড়ারেয় কোগো ঙা
His eyes were on me.,তার দৃষ্টি আমার দিকে ছিল,ঙাগো ক্রিরি আমা
Please do that again.,দয়া করে সেটা আবার করুন,য়াচা অরঃ ত্ব্রেং প্যাংলঃ মে
I love you.,আমি তোমায় ভালোবাসি,ঙা কো ক্রতে
His wife is Indian.,তার স্ত্রী ভারতীয়,ম্যা য়াসু খংড সংসা
How are you?,তোমার কী অবস্থা,নাং ম্জংহীরে
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আখ্যিং আহ্লা হিরে
I am very proud of my mother.,আমি আমার মাকে নিয়ে খুব গর্বিত,ঙা ঙো দ দ গো য়ুব আ্মা
Why were you so angry?,তুমি এত রেগে গেলে কেন?,নাং আস্যা মেং লে?
Do you need this book?,তোমার কি এই বইটা দরকার?,নাক্ মা ই লু হো ল?
His voice was calm.,তার কণ্ঠ শান্ত ছিল,য়াসু আসেং ঙন্যে
We started walking,আমরা হাঁটতে শুরু করলাম,ঙো সোওয়ারেব্যা
Excuse my mistake,আমার ভুল মাফ করবেন।,ঙা হ্রুওয়ে খোয়ং ম্হারে
We should be very careful,আমাদের খুব সতর্ক হওয়া উচিত,আমা ঙো স্দি ফ্রোরাহু
I don't like it,আমি এটা পছন্দ করি না,ঙা ইচা মা্সায়া
How can I help you?,আপনাকে কিভাবে সাহায্য করতে পারি?,ম্জং প্য়াংব কোওন্হেং হোলে?
Do you live here?,তুমি কি এখানে থাকো?,নাং নিংরে য়াং?
Are we ready to go now?,আমরা কি এখন যেতে প্রস্তুত,ব্যালঃ আগো লা ন্হেং হো ঙো
Thanks for the information.,তথ্যের জন্য ধন্যবাদ,স্ডাং কিজুটাংরে কিজু
Did you talk at all?,আপনি কি আদৌ কথা বলেছেন,কো চ্গা য়াং? সি ম্প্র
This is my brother,এই আমার ভাই,ঙা আকোসে/ন্ঙ্যিং
Have a nice time.,একটি সুন্দর সময় আছে,আহ্লা আখ্যিং হিরে
Thanks for the compliment.,প্রশংসার জন্য ধন্যবাদ,কিজুটাংরে কিজু ম্হ্রচা
His proposal was accepted in the meeting.,সভায় তার প্রস্তাব গৃহীত হয়,মিটিং মা চ্গা ফ্ররে
I trust you.,আমি তোমাকে বিশ্বাস করি,না্ক কো ক্যুং রে
It was so noisy.,এটা তাই কোলাহলপূর্ণ ছিল,য়জং কিজু ক্যক্যছাব হি্লিরে
His mother was strict.,তার মা কঠোর ছিল,অ্মি য়াসু কক্রউমন্হেং
It looks like a bird.,এটা একটি পাখির মত দেখায়,ন্হাক্ ন্ঞং ম্রাংরারে
They hit.,তারা আঘাত করেছিল,আসু লে?
Which team will win the game?,খেলা কোন দল জিতবে?,আসু খ্যলা অংহো?
Thank you for everything,সবকিছুর জন্য ধন্যবাদ,কিজু কিজুতাংরে
Please give it to me.,দয়া করে আমাকে দিন,য়াচা ত্খ্যাঃ পি
Have a nice time.,একটি সুন্দর সময় আছে,ট্খু্ক আহ্লা আখ্যিং
Did you take a shower?,তুমি কি গোসল করেছ?,নাং খ্যুব্যা য়াং?
It was really cheap.,এটা সত্যিই সস্তা ছিল,এ্তেং অ্কংকং ইচা হিলিরে
Please come in.,অনুগ্রহ করে ভিতরে আসুন,আঠিদো ওয়ংলেমে
How is everyone at your house?,তোমার বাসার সবাই কেমন আছে,রো নাং ইংসারো ম্জং হিরিলে
It's so cheap,এটা খুব সস্তা,আঁটেং এর্মা ইচা
Thank you very much,তোমাকে অনেক ধন্যবাদ,নাক্ আ্মা কো কিজুটাং রে
I can swim.,আমি সাঁতার কাটতে পারি,ঙা র্গু খেহো
You don't understand me,তুমি আমাকে বোঝো না,ঙাগো নং ম্নালে
Which is the shortest route?,সবচেয়ে কাছের পথ কোনটি?,লেং যাচা লে?
How are you?,তোমার কী অবস্থা,নাং লে
When can we eat?,আমরা কখন খেতে পারি?,ঙো জা্খা হুলে
My hair has grown very long,আমার চুল অনেক লম্বা হয়েছে,ঙা মা হ্রীব্যা এর্মা ছেংবাং
You are late.,তুমি দেরী কোরেছো,নাং ক্রাফাব্যা
This river is beautiful,এই নদী সুন্দর,ই খ্যং
Please give it to me.,দয়া করে আমাকে দিন,ত্খ্যাঃ য়াচা ঙাগো পি
There was no one there,সেখানে কেউ ছিল না,য়াদে ত্যক্পাং
She is a teacher.,সে একজন শিক্ষিকা,য়াসুু ত্যঃ ছ্রামা/চাখ্যাসা
He avoided me.,সে আমাকে এড়িয়ে চলে,য়াসুু ম্রাং প্যাংব লারে
When will you finish your work?,আপনি কখন কাজ শেষ করেছেন?,আলু জ্খা কোমা তুংরে লে?
Let me think about it,আমাকে এটা সম্পর্কে চিন্তা করতে দিন,ঙাগো ইচাগো য়ুব পি ছাংখ্রাহো
I am a vegetarian.,আমি একজন নিরামিষভোজী,মাচা হাংম্রু ঙা
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে
You are so brave,আপনি খুব সাহসী,ত্ফি ব্যাং ম্ক্রক্
His horse jumped over the fence.,তার ঘোড়া বেড়ার উপর লাফিয়ে উঠল,য়াসু য়াসু ছুই আথাউমা খুংব তাউরে
Why didn't you come in?,তুমি ভিতরে আসো না কেন?,নাং আথিদো ম্ওয়ংলে? আস্যা
Don't be angry.,রাগ করো না,মেং ম্তাঃক্যে
Please do that again.,দয়া করে সেটা আবার করুন,য়াচা ত্খ্যাঃ ত্ব্রেং অরঃ প্যাংলঃ মে
It wasn't necessary.,এটা প্রয়োজন ছিল না,ম্হিলি আ্লো ইচা
Do you have any ideas about this?,আপনার কোন ধারণা আছে এই ব্যাপারে?,কো য়াছাগো য়ুব ত্খুমসা সিক্ড়ি
What was the word for?,শব্দটা কিসের ছিল?,য়াচা আ্সেং লে?
When can we meet next time?,পরের বার কখন দেখা করতে পারি?,যখা আটুই খেং নহেং হোলে?
No one was in the garden,বাগানে কেউ ছিল না,য়ইং ত্যক্পাং মা মিহিলিই
How deep is the lake?,লেকের গভীরতা কত?,ওয়েই ম্নহ আ্নাক্ লে?
You made me happy,তুমি আমাকে খুশি করেছো,নাং ঙা গো অপ্য
They hit.,তারা আঘাত করেছিল,আসু লে?
It was really cheap.,এটা সত্যিই সস্তা ছিল,এ্তেং অ্কংকং ইচা হিলিরে
My father is in his room.,আমার বাবা তার রুমে আছেন,ঙো অফা/ হিরে বাবা নেংমা আফা/
His room is twice as big as mine.,তার রুম আমার চেয়ে দ্বিগুণ বড়,ঙাচা ত য়াসু থা ন্হপ্রেং সেংরে
I'm crazy about you,আমি তোমার সম্পর্কে পাগল,নাাক্ ঙা মা রুউ রে
It was very difficult.,এটা খুব কঠিন ছিল,ইচা লিরে খাঃখ্যে আমা
I am a vegetarian.,আমি একজন নিরামিষভোজী,ঙা মাচা হাংম্রু
Come and see me now,এসো এবং এখন আমাকে দেখতে,ঙা গো ক্রিজং আ্গু ল্লে
Which is your favorite team?,আপনার প্রিয় দল কোনটি?,ব্রা্গলে? সায়াচা আসু নাগ
I love you.,আমি তোমায় ভালোবাসি,ঙা ক্রতে কো নাক্
